Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),Time of Week,Total Daily Entries
Southern Ave,264.0,476.00,267.00,172.00,9.0,Weekends,1188.0
Spring Hill,50.0,175.00,127.00,82.00,5.0,Weekends,439.0
Stadium-Armory,157.0,550.00,328.00,296.00,16.0,Weekends,1347.0
Suitland,235.0,464.00,245.00,157.00,8.0,Weekends,1109.0
Takoma,247.0,899.00,527.00,234.00,17.0,Weekends,1924.0
Tenleytown-AU,136.0,964.00,704.00,392.00,18.0,Weekends,2214.0
Twinbrook,215.0,625.00,351.00,164.00,7.0,Weekends,1362.0
Tysons,83.0,540.00,827.00,539.00,11.0,Weekends,2000.0
U Street,178.0,"1,503.00","1,347.00","1,297.00",165.0,Weekends,4490.0
Union Station,422.0,"2,950.00","2,624.00","1,768.00",54.0,Weekends,7818.0
Van Dorn Street,126.0,381.00,191.00,92.00,7.0,Weekends,797.0
Van Ness-UDC,190.0,"1,008.00",662.00,258.00,14.0,Weekends,2132.0
Vienna,299.0,"1,385.00",648.00,223.00,7.0,Weekends,2562.0
Virginia Sq-GMU,123.0,667.00,400.00,180.00,9.0,Weekends,1379.0
Waterfront,167.0,938.00,"1,070.00","1,016.00",47.0,Weekends,3238.0
West Falls Church,77.0,282.00,146.00,56.00,4.0,Weekends,565.0
West Hyattsville,407.0,634.00,333.00,126.00,5.0,Weekends,1505.0
Wheaton,142.0,389.00,310.00,141.00,8.0,Weekends,990.0
Wiehle-Reston East,130.0,520.00,256.00,94.00,7.0,Weekends,1007.0
Woodley Park,175.0,"1,493.00","1,396.00",478.00,37.0,Weekends,3579.0
